Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
129,nom,96,160,0,0,,,,14.97,1.772,-77.82,,143.5e-3,172.2e-3,31.41e-3,18.23
130,nom,96,160,0,1,,,,15.5,1.884,163,,145.6e-3,174.7e-3,35.48e-3,20.31
131,nom,96,160,1,0,,,,15.43,1.869,-16.4,,145e-3,173.9e-3,34.95e-3,20.09
132,nom,96,160,1,1,,,,15.06,1.791,102.4,,145.3e-3,174.3e-3,32.08e-3,18.4
165,nom,128,160,0,0,,,,15.83,1.956,-85.62,,162.2e-3,194.6e-3,38.27e-3,19.66
166,nom,128,160,0,1,,,,16.16,2.032,171,,163.8e-3,196.5e-3,41.31e-3,21.02
167,nom,128,160,1,0,,,,16.11,2.02,-8.379,,163.7e-3,196.4e-3,40.8e-3,20.77
168,nom,128,160,1,1,,,,15.92,1.977,94.68,,164.4e-3,197.3e-3,39.07e-3,19.8
201,nom,160,160,0,0,,,,16.76,2.178,-91.74,,182.5e-3,219.1e-3,47.44e-3,21.65
202,nom,160,160,0,1,,,,16.86,2.202,177.9,,183.5e-3,220.2e-3,48.51e-3,22.03
203,nom,160,160,1,0,,,,16.82,2.193,-1.372,,184e-3,220.9e-3,48.08e-3,21.77
204,nom,160,160,1,1,,,,16.85,2.201,88.6,,185.4e-3,222.4e-3,48.43e-3,21.77
237,nom,192,160,0,0,,,,17.7,2.425,-96.45,,204.8e-3,245.8e-3,58.82e-3,23.93
238,nom,192,160,0,1,,,,17.56,2.388,-176.1,,205.1e-3,246.1e-3,57.01e-3,23.17
239,nom,192,160,1,0,,,,17.54,2.382,4.697,,206.3e-3,247.6e-3,56.74e-3,22.92
240,nom,192,160,1,1,,,,17.78,2.45,83.91,,208.4e-3,250.1e-3,60e-3,24
273,nom,224,160,0,0,,,,18.58,2.686,-100.1,,228.9e-3,274.7e-3,72.15e-3,26.27
274,nom,224,160,0,1,,,,18.25,2.584,-170.9,,228.7e-3,274.5e-3,66.78e-3,24.33
275,nom,224,160,1,0,,,,18.25,2.585,9.924,,230.7e-3,276.9e-3,66.8e-3,24.12
276,nom,224,160,1,1,,,,18.67,2.714,80.27,,233.5e-3,280.1e-3,73.63e-3,26.28
309,nom,255,160,0,0,,,,19.39,2.947,-102.9,,254.1e-3,304.9e-3,86.86e-3,28.49
310,nom,255,160,0,1,,,,18.88,2.781,-166.5,,253.9e-3,304.6e-3,77.31e-3,25.38
311,nom,255,160,1,0,,,,18.91,2.788,14.3,,256.7e-3,308e-3,77.73e-3,25.24
312,nom,255,160,1,1,,,,19.48,2.978,77.48,,259.7e-3,311.6e-3,88.68e-3,28.46
25,nom,0,192,0,0,,,,15.61,1.909,-45.01,,117.1e-3,140.6e-3,36.43e-3,25.92
26,nom,0,192,0,1,,,,15.7,1.927,135,,119e-3,142.8e-3,37.12e-3,26
27,nom,0,192,1,0,,,,15.61,1.909,-45.02,,117.1e-3,140.5e-3,36.42e-3,25.92
28,nom,0,192,1,1,,,,15.7,1.927,135,,119e-3,142.8e-3,37.12e-3,26
61,nom,32,192,0,0,,,,15.48,1.879,-54.23,,132.1e-3,158.6e-3,35.31e-3,22.27
62,nom,32,192,0,1,,,,15.96,1.986,143.8,,135e-3,162e-3,39.43e-3,24.34
63,nom,32,192,1,0,,,,15.87,1.967,-36.04,,133.2e-3,159.8e-3,38.67e-3,24.2
64,nom,32,192,1,1,,,,15.57,1.899,125.8,,134e-3,160.8e-3,36.05e-3,22.42
97,nom,64,192,0,0,,,,15.65,1.917,-63.48,,148.1e-3,177.7e-3,36.74e-3,20.68
98,nom,64,192,0,1,,,,16.32,2.071,152.1,,151.3e-3,181.6e-3,42.87e-3,23.61
99,nom,64,192,1,0,,,,16.24,2.051,-27.56,,149.8e-3,179.7e-3,42.08e-3,23.41
100,nom,64,192,1,1,,,,15.75,1.938,116.7,,150e-3,180e-3,37.55e-3,20.86
133,nom,96,192,0,0,,,,16.09,2.017,-72.04,,165.2e-3,198.3e-3,40.67e-3,20.51
134,nom,96,192,0,1,,,,16.76,2.179,159.8,,168.4e-3,202.1e-3,47.48e-3,23.5
135,nom,96,192,1,0,,,,16.69,2.16,-19.71,,167.2e-3,200.7e-3,46.66e-3,23.25
136,nom,96,192,1,1,,,,16.19,2.039,108.2,,167.5e-3,201e-3,41.57e-3,20.69
169,nom,128,192,0,0,,,,16.73,2.169,-79.47,,183.9e-3,220.6e-3,47.06e-3,21.33
170,nom,128,192,0,1,,,,17.27,2.308,166.9,,186.6e-3,223.9e-3,53.28e-3,23.79
171,nom,128,192,1,0,,,,17.2,2.29,-12.51,,186e-3,223.2e-3,52.46e-3,23.5
172,nom,128,192,1,1,,,,16.82,2.194,100.8,,186.6e-3,223.9e-3,48.12e-3,21.49
205,nom,160,192,0,0,,,,17.47,2.363,-85.63,,204.2e-3,245.1e-3,55.85e-3,22.79
206,nom,160,192,0,1,,,,17.8,2.455,173.3,,206.3e-3,247.6e-3,60.26e-3,24.34
207,nom,160,192,1,0,,,,17.75,2.44,-6.008,,206.5e-3,247.8e-3,59.56e-3,24.04
208,nom,160,192,1,1,,,,17.56,2.389,94.7,,207.6e-3,249.1e-3,57.07e-3,22.91
241,nom,192,192,0,0,,,,18.25,2.585,-90.63,,226.5e-3,271.8e-3,66.81e-3,24.58
242,nom,192,192,0,1,,,,18.35,2.616,179,,228e-3,273.5e-3,68.44e-3,25.02
243,nom,192,192,1,0,,,,18.32,2.606,-214.1e-3,,228.8e-3,274.5e-3,67.89e-3,24.73
244,nom,192,192,1,1,,,,18.34,2.613,89.74,,230.6e-3,276.8e-3,68.27e-3,24.67
277,nom,224,192,0,0,,,,19.02,2.825,-94.64,,250.6e-3,300.8e-3,79.83e-3,26.54
278,nom,224,192,0,1,,,,18.9,2.788,-175.9,,251.7e-3,302.1e-3,77.7e-3,25.72
279,nom,224,192,1,0,,,,18.89,2.782,4.932,,253.3e-3,303.9e-3,77.42e-3,25.47
280,nom,224,192,1,1,,,,19.12,2.856,85.72,,255.7e-3,306.9e-3,81.58e-3,26.59
313,nom,255,192,0,0,,,,19.74,3.07,-97.83,,275.9e-3,331.1e-3,94.23e-3,28.46
314,nom,255,192,0,1,,,,19.44,2.963,-171.5,,276.9e-3,332.3e-3,87.81e-3,26.42
315,nom,255,192,1,0,,,,19.43,2.963,9.346,,279.3e-3,335.1e-3,87.77e-3,26.19
316,nom,255,192,1,1,,,,19.84,3.104,82.55,,282.1e-3,338.5e-3,96.33e-3,28.45
29,nom,0,224,0,0,,,,16.91,2.217,-43.86,,141.2e-3,169.4e-3,49.14e-3,29.01
30,nom,0,224,0,1,,,,17,2.239,136.1,,143.6e-3,172.3e-3,50.14e-3,29.1
31,nom,0,224,1,0,,,,16.91,2.217,-43.85,,141.1e-3,169.4e-3,49.13e-3,29.01
32,nom,0,224,1,1,,,,17,2.239,136.1,,143.6e-3,172.3e-3,50.14e-3,29.09
65,nom,32,224,0,0,,,,16.75,2.175,-51.7,,156e-3,187.2e-3,47.31e-3,25.27
66,nom,32,224,0,1,,,,17.24,2.301,143.6,,159.7e-3,191.6e-3,52.94e-3,27.63
67,nom,32,224,1,0,,,,17.15,2.277,-36.2,,157.3e-3,188.7e-3,51.85e-3,27.47
68,nom,32,224,1,1,,,,16.84,2.199,128.4,,158.4e-3,190.1e-3,48.36e-3,25.44
101,nom,64,224,0,0,,,,16.82,2.193,-59.73,,171.8e-3,206.2e-3,48.1e-3,23.33
102,nom,64,224,0,1,,,,17.53,2.381,150.8,,176.1e-3,211.3e-3,56.68e-3,26.83
103,nom,64,224,1,0,,,,17.45,2.357,-28.88,,174e-3,208.7e-3,55.57e-3,26.62
104,nom,64,224,1,1,,,,16.92,2.218,120.4,,174.4e-3,209.3e-3,49.2e-3,23.51
137,nom,96,224,0,0,,,,17.11,2.268,-67.41,,188.9e-3,226.7e-3,51.43e-3,22.69
138,nom,96,224,0,1,,,,17.89,2.479,157.5,,193.2e-3,231.9e-3,61.47e-3,26.51
139,nom,96,224,1,0,,,,17.8,2.456,-21.99,,191.5e-3,229.8e-3,60.31e-3,26.25
140,nom,96,224,1,1,,,,17.22,2.295,112.8,,191.8e-3,230.1e-3,52.67e-3,22.89
173,nom,128,224,0,0,,,,17.58,2.393,-74.36,,207.6e-3,249.1e-3,57.26e-3,22.99
174,nom,128,224,0,1,,,,18.28,2.593,163.9,,211.5e-3,253.8e-3,67.25e-3,26.5
175,nom,128,224,1,0,,,,18.2,2.571,-15.56,,210.3e-3,252.3e-3,66.08e-3,26.19
176,nom,128,224,1,1,,,,17.68,2.421,105.9,,211e-3,253.2e-3,58.62e-3,23.15
209,nom,160,224,0,0,,,,18.16,2.558,-80.36,,228.1e-3,273.7e-3,65.46e-3,23.92
210,nom,160,224,0,1,,,,18.7,2.722,169.7,,231.3e-3,277.5e-3,74.1e-3,26.7
211,nom,160,224,1,0,,,,18.63,2.701,-9.61,,230.7e-3,276.9e-3,72.95e-3,26.35
212,nom,160,224,1,1,,,,18.26,2.59,99.95,,232e-3,278.5e-3,67.06e-3,24.08
245,nom,192,224,0,0,,,,18.81,2.756,-85.48,,250.2e-3,300.3e-3,75.98e-3,25.3
