Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
70,nom,34,255,,,,17.88,2.479,125,,184.9e-3,221.9e-3,61.44e-3,27.69
72,nom,35,255,,,,17.88,2.478,124.7,,185.4e-3,222.5e-3,61.41e-3,27.6
74,nom,36,255,,,,17.88,2.477,124.5,,185.9e-3,223e-3,61.38e-3,27.52
76,nom,37,255,,,,17.88,2.477,124.3,,186.3e-3,223.6e-3,61.35e-3,27.44
78,nom,38,255,,,,17.88,2.477,124.1,,186.8e-3,224.2e-3,61.33e-3,27.36
80,nom,39,255,,,,17.88,2.476,123.8,,187.3e-3,224.8e-3,61.31e-3,27.28
82,nom,40,255,,,,17.87,2.476,123.6,,187.8e-3,225.3e-3,61.29e-3,27.2
84,nom,41,255,,,,17.87,2.475,123.4,,188.2e-3,225.9e-3,61.28e-3,27.13
86,nom,42,255,,,,17.87,2.475,123.2,,188.7e-3,226.5e-3,61.26e-3,27.05
88,nom,43,255,,,,17.87,2.475,123,,189.2e-3,227e-3,61.25e-3,26.98
90,nom,44,255,,,,17.87,2.475,122.7,,189.7e-3,227.6e-3,61.25e-3,26.91
92,nom,45,255,,,,17.87,2.475,122.5,,190.2e-3,228.2e-3,61.24e-3,26.84
94,nom,46,255,,,,17.87,2.475,122.3,,190.7e-3,228.8e-3,61.23e-3,26.76
96,nom,47,255,,,,17.87,2.474,122.1,,191.1e-3,229.4e-3,61.23e-3,26.69
98,nom,48,255,,,,17.87,2.475,121.9,,191.6e-3,230e-3,61.23e-3,26.63
100,nom,49,255,,,,17.87,2.475,121.6,,192.1e-3,230.6e-3,61.24e-3,26.56
102,nom,50,255,,,,17.87,2.475,121.4,,192.6e-3,231.1e-3,61.26e-3,26.5
104,nom,51,255,,,,17.87,2.475,121.2,,193.1e-3,231.7e-3,61.27e-3,26.44
106,nom,52,255,,,,17.87,2.475,121,,193.6e-3,232.3e-3,61.27e-3,26.37
108,nom,53,255,,,,17.87,2.476,120.7,,194.1e-3,232.9e-3,61.28e-3,26.31
110,nom,54,255,,,,17.87,2.476,120.5,,194.6e-3,233.5e-3,61.3e-3,26.25
112,nom,55,255,,,,17.88,2.476,120.3,,195.1e-3,234.1e-3,61.33e-3,26.2
114,nom,56,255,,,,17.88,2.477,120.1,,195.6e-3,234.7e-3,61.35e-3,26.14
116,nom,57,255,,,,17.88,2.477,119.9,,196.1e-3,235.3e-3,61.37e-3,26.08
118,nom,58,255,,,,17.88,2.478,119.6,,196.6e-3,235.9e-3,61.39e-3,26.02
120,nom,59,255,,,,17.88,2.478,119.4,,197.1e-3,236.5e-3,61.43e-3,25.97
122,nom,60,255,,,,17.89,2.479,119.2,,197.6e-3,237.1e-3,61.46e-3,25.92
124,nom,61,255,,,,17.89,2.48,119,,198.1e-3,237.7e-3,61.5e-3,25.87
126,nom,62,255,,,,17.89,2.481,118.8,,198.6e-3,238.4e-3,61.54e-3,25.82
128,nom,63,255,,,,17.89,2.482,118.5,,199.1e-3,239e-3,61.58e-3,25.77
130,nom,64,255,,,,17.9,2.482,118.3,,199.6e-3,239.6e-3,61.62e-3,25.72
132,nom,65,255,,,,17.9,2.483,118.1,,200.1e-3,240.2e-3,61.67e-3,25.68
134,nom,66,255,,,,17.9,2.484,117.9,,200.7e-3,240.8e-3,61.72e-3,25.63
136,nom,67,255,,,,17.91,2.485,117.7,,201.2e-3,241.4e-3,61.76e-3,25.58
138,nom,68,255,,,,17.91,2.486,117.4,,201.7e-3,242e-3,61.82e-3,25.54
140,nom,69,255,,,,17.92,2.487,117.2,,202.2e-3,242.7e-3,61.87e-3,25.5
142,nom,70,255,,,,17.92,2.489,117,,202.7e-3,243.3e-3,61.93e-3,25.46
