Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
66,nom,32,255,,,,17.47,2.364,140.6,,234.6e-3,281.5e-3,55.89e-3,19.85
68,nom,33,255,,,,17.47,2.364,140.3,,235.2e-3,282.2e-3,55.88e-3,19.8
70,nom,34,255,,,,17.47,2.363,140.1,,235.7e-3,282.8e-3,55.86e-3,19.75
72,nom,35,255,,,,17.47,2.363,139.9,,236.2e-3,283.5e-3,55.84e-3,19.7
74,nom,36,255,,,,17.47,2.363,139.6,,236.8e-3,284.1e-3,55.83e-3,19.65
76,nom,37,255,,,,17.47,2.363,139.4,,237.3e-3,284.8e-3,55.82e-3,19.6
78,nom,38,255,,,,17.47,2.362,139.2,,237.9e-3,285.5e-3,55.81e-3,19.55
80,nom,39,255,,,,17.47,2.362,138.9,,238.5e-3,286.2e-3,55.8e-3,19.5
82,nom,40,255,,,,17.47,2.362,138.7,,239e-3,286.9e-3,55.8e-3,19.45
84,nom,41,255,,,,17.47,2.362,138.5,,239.6e-3,287.5e-3,55.8e-3,19.41
86,nom,42,255,,,,17.47,2.362,138.2,,240.2e-3,288.2e-3,55.8e-3,19.36
88,nom,43,255,,,,17.47,2.362,138,,240.8e-3,288.9e-3,55.8e-3,19.32
90,nom,44,255,,,,17.47,2.362,137.8,,241.3e-3,289.6e-3,55.81e-3,19.27
92,nom,45,255,,,,17.47,2.363,137.6,,241.9e-3,290.3e-3,55.82e-3,19.23
94,nom,46,255,,,,17.47,2.363,137.3,,242.5e-3,291e-3,55.83e-3,19.19
96,nom,47,255,,,,17.47,2.363,137.1,,243.1e-3,291.7e-3,55.85e-3,19.15
98,nom,48,255,,,,17.47,2.363,136.9,,243.7e-3,292.4e-3,55.86e-3,19.1
100,nom,49,255,,,,17.47,2.364,136.6,,244.2e-3,293.1e-3,55.87e-3,19.06
102,nom,50,255,,,,17.47,2.364,136.4,,244.8e-3,293.8e-3,55.89e-3,19.03
104,nom,51,255,,,,17.48,2.365,136.2,,245.4e-3,294.5e-3,55.92e-3,18.99
106,nom,52,255,,,,17.48,2.365,135.9,,246e-3,295.2e-3,55.95e-3,18.95
108,nom,53,255,,,,17.48,2.366,135.7,,246.6e-3,295.9e-3,55.98e-3,18.92
110,nom,54,255,,,,17.48,2.367,135.5,,247.2e-3,296.7e-3,56e-3,18.88
112,nom,55,255,,,,17.48,2.367,135.3,,247.8e-3,297.4e-3,56.04e-3,18.84
114,nom,56,255,,,,17.49,2.368,135,,248.4e-3,298.1e-3,56.07e-3,18.81
116,nom,57,255,,,,17.49,2.369,134.8,,249.1e-3,298.9e-3,56.1e-3,18.77
118,nom,58,255,,,,17.49,2.369,134.6,,249.7e-3,299.7e-3,56.14e-3,18.73
120,nom,59,255,,,,17.5,2.37,134.3,,250.4e-3,300.4e-3,56.18e-3,18.7
122,nom,60,255,,,,17.5,2.371,134.1,,251e-3,301.2e-3,56.22e-3,18.67
124,nom,61,255,,,,17.5,2.372,133.9,,251.6e-3,301.9e-3,56.27e-3,18.64
126,nom,62,255,,,,17.51,2.373,133.7,,252.2e-3,302.7e-3,56.32e-3,18.61
128,nom,63,255,,,,17.51,2.374,133.4,,252.9e-3,303.4e-3,56.38e-3,18.58
130,nom,64,255,,,,17.52,2.376,133.2,,253.5e-3,304.2e-3,56.43e-3,18.55
132,nom,65,255,,,,17.52,2.377,133,,254.1e-3,304.9e-3,56.5e-3,18.53
134,nom,66,255,,,,17.53,2.378,132.7,,254.7e-3,305.7e-3,56.56e-3,18.5
136,nom,67,255,,,,17.53,2.38,132.5,,255.4e-3,306.4e-3,56.63e-3,18.48
138,nom,68,255,,,,17.54,2.381,132.3,,256e-3,307.2e-3,56.69e-3,18.45
140,nom,69,255,,,,17.54,2.382,132,,256.6e-3,308e-3,56.76e-3,18.43
142,nom,70,255,,,,17.55,2.384,131.8,,257.3e-3,308.7e-3,56.83e-3,18.41
144,nom,71,255,,,,17.55,2.385,131.6,,257.9e-3,309.5e-3,56.9e-3,18.38
146,nom,72,255,,,,17.56,2.387,131.4,,258.6e-3,310.3e-3,56.98e-3,18.36
148,nom,73,255,,,,17.56,2.389,131.1,,259.2e-3,311.1e-3,57.05e-3,18.34
150,nom,74,255,,,,17.57,2.39,130.9,,259.9e-3,311.9e-3,57.13e-3,18.32
152,nom,75,255,,,,17.57,2.392,130.7,,260.6e-3,312.7e-3,57.21e-3,18.3
154,nom,76,255,,,,17.58,2.394,130.5,,261.2e-3,313.5e-3,57.3e-3,18.28
156,nom,77,255,,,,17.59,2.396,130.2,,261.9e-3,314.3e-3,57.39e-3,18.26
158,nom,78,255,,,,17.59,2.397,130,,262.6e-3,315.1e-3,57.48e-3,18.24
160,nom,79,255,,,,17.6,2.399,129.8,,263.2e-3,315.9e-3,57.57e-3,18.22
162,nom,80,255,,,,17.61,2.401,129.6,,263.9e-3,316.7e-3,57.66e-3,18.21
164,nom,81,255,,,,17.62,2.403,129.3,,264.6e-3,317.5e-3,57.76e-3,18.19
166,nom,82,255,,,,17.62,2.406,129.1,,265.2e-3,318.3e-3,57.87e-3,18.18
168,nom,83,255,,,,17.63,2.408,128.9,,265.9e-3,319.1e-3,57.97e-3,18.17
170,nom,84,255,,,,17.64,2.41,128.7,,266.6e-3,319.9e-3,58.08e-3,18.15
172,nom,85,255,,,,17.65,2.412,128.4,,267.3e-3,320.8e-3,58.17e-3,18.13
174,nom,86,255,,,,17.66,2.414,128.2,,268e-3,321.6e-3,58.28e-3,18.12
176,nom,87,255,,,,17.66,2.417,128,,268.7e-3,322.5e-3,58.4e-3,18.11
178,nom,88,255,,,,17.67,2.419,127.8,,269.4e-3,323.3e-3,58.51e-3,18.1
180,nom,89,255,,,,17.68,2.421,127.5,,270.1e-3,324.2e-3,58.63e-3,18.09
182,nom,90,255,,,,17.69,2.424,127.3,,270.8e-3,325e-3,58.76e-3,18.08
184,nom,91,255,,,,17.7,2.426,127.1,,271.5e-3,325.9e-3,58.87e-3,18.07
186,nom,92,255,,,,17.71,2.429,126.9,,272.3e-3,326.7e-3,58.99e-3,18.06
188,nom,93,255,,,,17.72,2.431,126.7,,273e-3,327.6e-3,59.12e-3,18.05
190,nom,94,255,,,,17.73,2.434,126.5,,273.7e-3,328.4e-3,59.25e-3,18.04
192,nom,95,255,,,,17.74,2.437,126.2,,274.4e-3,329.3e-3,59.39e-3,18.04
194,nom,96,255,,,,17.75,2.439,126,,275.2e-3,330.2e-3,59.5e-3,18.02
196,nom,97,255,,,,17.75,2.442,125.8,,275.9e-3,331.1e-3,59.63e-3,18.01
198,nom,98,255,,,,17.77,2.445,125.6,,276.6e-3,331.9e-3,59.78e-3,18.01
200,nom,99,255,,,,17.78,2.448,125.4,,277.3e-3,332.8e-3,59.93e-3,18.01
202,nom,100,255,,,,17.79,2.451,125.1,,278.1e-3,333.7e-3,60.07e-3,18
204,nom,101,255,,,,17.8,2.454,124.9,,278.9e-3,334.6e-3,60.21e-3,17.99
206,nom,102,255,,,,17.81,2.457,124.7,,279.6e-3,335.5e-3,60.35e-3,17.99
208,nom,103,255,,,,17.82,2.46,124.5,,280.3e-3,336.4e-3,60.51e-3,17.99
210,nom,104,255,,,,17.83,2.463,124.3,,281.1e-3,337.3e-3,60.66e-3,17.99
212,nom,105,255,,,,17.84,2.466,124.1,,281.8e-3,338.1e-3,60.83e-3,17.99
214,nom,106,255,,,,17.85,2.469,123.9,,282.5e-3,339.1e-3,60.98e-3,17.99
216,nom,107,255,,,,17.86,2.473,123.7,,283.3e-3,340e-3,61.14e-3,17.99
218,nom,108,255,,,,17.88,2.476,123.4,,284.1e-3,340.9e-3,61.31e-3,17.99
220,nom,109,255,,,,17.89,2.479,123.2,,284.8e-3,341.8e-3,61.47e-3,17.98
222,nom,110,255,,,,17.9,2.483,123,,285.6e-3,342.7e-3,61.64e-3,17.99
224,nom,111,255,,,,17.91,2.486,122.8,,286.4e-3,343.7e-3,61.8e-3,17.98
226,nom,112,255,,,,17.92,2.49,122.6,,287.2e-3,344.6e-3,61.99e-3,17.99
228,nom,113,255,,,,17.93,2.493,122.4,,288e-3,345.6e-3,62.14e-3,17.98
