Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
112,nom,96,0,1,1,,,,9.272,919.6e-3,-128.4,,64.42e-3,77.31e-3,8.457e-3,10.94
145,nom,128,0,0,0,,,,11.82,1.233,53.01,,89.23e-3,107.1e-3,15.21e-3,14.21
146,nom,128,0,0,1,,,,11.82,1.233,53,,89.23e-3,107.1e-3,15.21e-3,14.21
147,nom,128,0,1,0,,,,11.75,1.223,-127,,88.61e-3,106.3e-3,14.97e-3,14.08
148,nom,128,0,1,1,,,,11.75,1.223,-127,,88.61e-3,106.3e-3,14.97e-3,14.08
181,nom,160,0,0,0,,,,13.73,1.536,54.33,,116.9e-3,140.3e-3,23.61e-3,16.82
182,nom,160,0,0,1,,,,13.73,1.536,54.33,,116.9e-3,140.3e-3,23.6e-3,16.82
183,nom,160,0,1,0,,,,13.66,1.524,-125.7,,115.9e-3,139.1e-3,23.23e-3,16.7
184,nom,160,0,1,1,,,,13.66,1.524,-125.7,,115.9e-3,139.1e-3,23.23e-3,16.7
217,nom,192,0,0,0,,,,15.27,1.835,55.52,,148e-3,177.6e-3,33.67e-3,18.96
218,nom,192,0,0,1,,,,15.27,1.835,55.52,,147.9e-3,177.5e-3,33.67e-3,18.97
219,nom,192,0,1,0,,,,15.21,1.821,-124.5,,146.5e-3,175.9e-3,33.15e-3,18.85
220,nom,192,0,1,1,,,,15.2,1.821,-124.5,,146.5e-3,175.8e-3,33.15e-3,18.85
