Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
325,nom,162,0,,,,14.15,1.612,-136.5,,96.29e-3,115.5e-3,25.98e-3,22.48
327,nom,163,0,,,,14.2,1.621,-136.5,,96.94e-3,116.3e-3,26.29e-3,22.6
329,nom,164,0,,,,14.25,1.631,-136.5,,97.6e-3,117.1e-3,26.61e-3,22.72
331,nom,165,0,,,,14.3,1.641,-136.4,,98.28e-3,117.9e-3,26.93e-3,22.84
333,nom,166,0,,,,14.35,1.651,-136.4,,98.94e-3,118.7e-3,27.26e-3,22.96
335,nom,167,0,,,,14.41,1.661,-136.4,,99.6e-3,119.5e-3,27.58e-3,23.08
337,nom,168,0,,,,14.46,1.671,-136.3,,100.3e-3,120.3e-3,27.91e-3,23.2
339,nom,169,0,,,,14.51,1.68,-136.3,,100.9e-3,121.1e-3,28.24e-3,23.31
341,nom,170,0,,,,14.56,1.69,-136.2,,101.6e-3,121.9e-3,28.57e-3,23.43
343,nom,171,0,,,,14.61,1.7,-136.2,,102.3e-3,122.8e-3,28.9e-3,23.54
345,nom,172,0,,,,14.66,1.71,-136.2,,103e-3,123.6e-3,29.23e-3,23.66
347,nom,173,0,,,,14.71,1.72,-136.1,,103.7e-3,124.4e-3,29.57e-3,23.77
349,nom,174,0,,,,14.76,1.729,-136.1,,104.3e-3,125.2e-3,29.91e-3,23.89
351,nom,175,0,,,,14.81,1.739,-136,,105e-3,126e-3,30.24e-3,24
353,nom,176,0,,,,14.85,1.749,-136,,105.7e-3,126.9e-3,30.58e-3,24.11
355,nom,177,0,,,,14.9,1.759,-135.9,,106.4e-3,127.7e-3,30.93e-3,24.22
357,nom,178,0,,,,14.95,1.768,-135.9,,107.1e-3,128.5e-3,31.27e-3,24.33
359,nom,179,0,,,,15,1.778,-135.9,,107.8e-3,129.3e-3,31.62e-3,24.44
361,nom,180,0,,,,15.05,1.788,-135.8,,108.5e-3,130.2e-3,31.97e-3,24.56
363,nom,181,0,,,,15.09,1.798,-135.8,,109.2e-3,131e-3,32.31e-3,24.67
365,nom,182,0,,,,15.14,1.807,-135.7,,109.9e-3,131.8e-3,32.67e-3,24.78
367,nom,183,0,,,,15.19,1.817,-135.7,,110.6e-3,132.7e-3,33.02e-3,24.89
369,nom,184,0,,,,15.23,1.827,-135.7,,111.3e-3,133.5e-3,33.38e-3,25
371,nom,185,0,,,,15.28,1.837,-135.6,,112e-3,134.3e-3,33.73e-3,25.11
373,nom,186,0,,,,15.33,1.846,-135.6,,112.7e-3,135.2e-3,34.09e-3,25.22
375,nom,187,0,,,,15.37,1.856,-135.6,,113.4e-3,136e-3,34.45e-3,25.32
377,nom,188,0,,,,15.42,1.866,-135.5,,114.1e-3,136.9e-3,34.82e-3,25.43
379,nom,189,0,,,,15.46,1.876,-135.5,,114.8e-3,137.8e-3,35.18e-3,25.54
381,nom,190,0,,,,15.51,1.885,-135.4,,115.5e-3,138.6e-3,35.55e-3,25.65
383,nom,191,0,,,,15.55,1.895,-135.4,,116.2e-3,139.5e-3,35.92e-3,25.75
385,nom,192,0,,,,15.6,1.905,-135.4,,116.9e-3,140.3e-3,36.29e-3,25.86
387,nom,193,0,,,,15.64,1.915,-135.3,,117.6e-3,141.2e-3,36.66e-3,25.97
389,nom,194,0,,,,15.69,1.924,-135.3,,118.4e-3,142e-3,37.03e-3,26.07
391,nom,195,0,,,,15.73,1.934,-135.3,,119.1e-3,142.9e-3,37.4e-3,26.18
393,nom,196,0,,,,15.77,1.944,-135.2,,119.8e-3,143.8e-3,37.78e-3,26.28
395,nom,197,0,,,,15.82,1.953,-135.2,,120.5e-3,144.6e-3,38.16e-3,26.39
397,nom,198,0,,,,15.86,1.963,-135.2,,121.2e-3,145.5e-3,38.54e-3,26.49
399,nom,199,0,,,,15.9,1.973,-135.1,,122e-3,146.4e-3,38.92e-3,26.59
401,nom,200,0,,,,15.94,1.982,-135.1,,122.7e-3,147.3e-3,39.3e-3,26.69
403,nom,201,0,,,,15.99,1.992,-135,,123.4e-3,148.1e-3,39.68e-3,26.79
405,nom,202,0,,,,16.03,2.002,-135,,124.2e-3,149e-3,40.07e-3,26.89
407,nom,203,0,,,,16.07,2.011,-135,,124.9e-3,149.9e-3,40.46e-3,26.99
409,nom,204,0,,,,16.11,2.021,-134.9,,125.7e-3,150.8e-3,40.85e-3,27.09
411,nom,205,0,,,,16.15,2.031,-134.9,,126.4e-3,151.7e-3,41.24e-3,27.19
413,nom,206,0,,,,16.19,2.04,-134.9,,127.1e-3,152.5e-3,41.64e-3,27.29
415,nom,207,0,,,,16.24,2.05,-134.8,,127.8e-3,153.4e-3,42.03e-3,27.4
417,nom,208,0,,,,16.28,2.06,-134.8,,128.6e-3,154.3e-3,42.43e-3,27.49
419,nom,209,0,,,,16.32,2.069,-134.8,,129.3e-3,155.2e-3,42.83e-3,27.59
421,nom,210,0,,,,16.36,2.079,-134.7,,130.1e-3,156.1e-3,43.23e-3,27.69
423,nom,211,0,,,,16.4,2.089,-134.7,,130.9e-3,157e-3,43.63e-3,27.78
425,nom,212,0,,,,16.44,2.098,-134.7,,131.6e-3,158e-3,44.03e-3,27.87
427,nom,213,0,,,,16.48,2.108,-134.6,,132.4e-3,158.8e-3,44.43e-3,27.97
429,nom,214,0,,,,16.52,2.117,-134.6,,133.1e-3,159.8e-3,44.84e-3,28.07
431,nom,215,0,,,,16.56,2.127,-134.6,,133.9e-3,160.7e-3,45.25e-3,28.16
433,nom,216,0,,,,16.6,2.137,-134.5,,134.6e-3,161.6e-3,45.66e-3,28.26
435,nom,217,0,,,,16.63,2.146,-134.5,,135.4e-3,162.5e-3,46.07e-3,28.35
437,nom,218,0,,,,16.67,2.156,-134.4,,136.2e-3,163.4e-3,46.48e-3,28.45
439,nom,219,0,,,,16.71,2.166,-134.4,,136.9e-3,164.3e-3,46.9e-3,28.54
441,nom,220,0,,,,16.75,2.175,-134.4,,137.7e-3,165.2e-3,47.31e-3,28.63
443,nom,221,0,,,,16.79,2.185,-134.3,,138.5e-3,166.2e-3,47.72e-3,28.71
445,nom,222,0,,,,16.83,2.194,-134.3,,139.3e-3,167.1e-3,48.14e-3,28.8
447,nom,223,0,,,,16.86,2.204,-134.3,,140e-3,168e-3,48.57e-3,28.9
449,nom,224,0,,,,16.9,2.213,-134.2,,140.8e-3,169e-3,48.99e-3,28.99
451,nom,225,0,,,,16.94,2.223,-134.2,,141.6e-3,169.9e-3,49.42e-3,29.08
453,nom,226,0,,,,16.98,2.233,-134.2,,142.4e-3,170.8e-3,49.85e-3,29.18
455,nom,227,0,,,,17.01,2.242,-134.1,,143.2e-3,171.8e-3,50.27e-3,29.25
457,nom,228,0,,,,17.05,2.252,-134.1,,143.9e-3,172.7e-3,50.7e-3,29.35
459,nom,229,0,,,,17.09,2.261,-134.1,,144.7e-3,173.7e-3,51.13e-3,29.45
461,nom,230,0,,,,17.12,2.271,-134,,145.6e-3,174.7e-3,51.57e-3,29.52
463,nom,231,0,,,,17.16,2.28,-134,,146.3e-3,175.6e-3,52e-3,29.61
465,nom,232,0,,,,17.2,2.29,-134,,147.1e-3,176.5e-3,52.43e-3,29.7
467,nom,233,0,,,,17.23,2.299,-134,,147.9e-3,177.5e-3,52.86e-3,29.79
469,nom,234,0,,,,17.27,2.309,-133.9,,148.7e-3,178.4e-3,53.3e-3,29.87
471,nom,235,0,,,,17.3,2.318,-133.9,,149.5e-3,179.4e-3,53.75e-3,29.95
473,nom,236,0,,,,17.34,2.328,-133.9,,150.3e-3,180.3e-3,54.18e-3,30.04
475,nom,237,0,,,,17.37,2.337,-133.8,,151.2e-3,181.4e-3,54.63e-3,30.11
477,nom,238,0,,,,17.41,2.347,-133.8,,151.9e-3,182.3e-3,55.07e-3,30.2
479,nom,239,0,,,,17.44,2.356,-133.8,,152.8e-3,183.3e-3,55.52e-3,30.29
481,nom,240,0,,,,17.48,2.366,-133.8,,153.5e-3,184.2e-3,55.98e-3,30.4
483,nom,241,0,,,,17.51,2.375,-133.7,,154.4e-3,185.3e-3,56.42e-3,30.45
485,nom,242,0,,,,17.55,2.385,-133.7,,155.2e-3,186.2e-3,56.86e-3,30.54
487,nom,243,0,,,,17.58,2.394,-133.7,,156e-3,187.2e-3,57.33e-3,30.62
489,nom,244,0,,,,17.62,2.404,-133.6,,156.8e-3,188.2e-3,57.78e-3,30.71
491,nom,245,0,,,,17.65,2.413,-133.6,,157.6e-3,189.2e-3,58.23e-3,30.79
493,nom,246,0,,,,17.69,2.423,-133.6,,158.4e-3,190.1e-3,58.69e-3,30.87
495,nom,247,0,,,,17.72,2.432,-133.6,,159.2e-3,191.1e-3,59.15e-3,30.95
497,nom,248,0,,,,17.75,2.441,-133.5,,160.1e-3,192.1e-3,59.61e-3,31.03
499,nom,249,0,,,,17.79,2.451,-133.5,,160.9e-3,193.1e-3,60.06e-3,31.11
501,nom,250,0,,,,17.82,2.46,-133.5,,161.8e-3,194.1e-3,60.53e-3,31.18
503,nom,251,0,,,,17.85,2.47,-133.4,,162.7e-3,195.2e-3,60.99e-3,31.25
505,nom,252,0,,,,17.89,2.479,-133.4,,163.5e-3,196.2e-3,61.45e-3,31.32
507,nom,253,0,,,,17.92,2.489,-133.4,,164.3e-3,197.1e-3,61.93e-3,31.41
509,nom,254,0,,,,17.95,2.498,-133.3,,165.1e-3,198.2e-3,62.39e-3,31.48
511,nom,255,0,,,,17.98,2.507,-133.3,,166e-3,199.2e-3,62.86e-3,31.55
2,nom,0,255,,,,17.99,2.51,-42.81,,166.6e-3,199.9e-3,62.98e-3,31.51
4,nom,1,255,,,,17.98,2.507,-43.02,,166.9e-3,200.3e-3,62.85e-3,31.38
6,nom,2,255,,,,17.97,2.505,-43.23,,167.3e-3,200.8e-3,62.73e-3,31.24
8,nom,3,255,,,,17.97,2.502,-43.44,,167.8e-3,201.4e-3,62.62e-3,31.1
10,nom,4,255,,,,17.96,2.5,-43.65,,168.3e-3,201.9e-3,62.51e-3,30.96
12,nom,5,255,,,,17.95,2.498,-43.86,,168.7e-3,202.4e-3,62.4e-3,30.82
14,nom,6,255,,,,17.94,2.496,-44.08,,169.1e-3,203e-3,62.29e-3,30.69
16,nom,7,255,,,,17.94,2.494,-44.28,,169.6e-3,203.5e-3,62.19e-3,30.56
18,nom,8,255,,,,17.93,2.492,-44.49,,170.1e-3,204.1e-3,62.09e-3,30.42
20,nom,9,255,,,,17.92,2.49,-44.7,,170.5e-3,204.6e-3,61.98e-3,30.29
22,nom,10,255,,,,17.92,2.488,-44.92,,171e-3,205.2e-3,61.89e-3,30.16
24,nom,11,255,,,,17.91,2.486,-45.13,,171.4e-3,205.7e-3,61.79e-3,30.04
26,nom,12,255,,,,17.9,2.484,-45.35,,171.9e-3,206.3e-3,61.71e-3,29.91
28,nom,13,255,,,,17.9,2.482,-45.55,,172.4e-3,206.8e-3,61.61e-3,29.79
30,nom,14,255,,,,17.89,2.48,-45.77,,172.8e-3,207.4e-3,61.53e-3,29.67
32,nom,15,255,,,,17.88,2.479,-45.98,,173.3e-3,207.9e-3,61.44e-3,29.55
34,nom,16,255,,,,17.88,2.477,-46.2,,173.7e-3,208.5e-3,61.36e-3,29.44
36,nom,17,255,,,,17.87,2.476,-46.41,,174.2e-3,209e-3,61.28e-3,29.32
38,nom,18,255,,,,17.87,2.474,-46.62,,174.7e-3,209.6e-3,61.21e-3,29.2
